Country,Year,% Electricity Access,% Electricity Access Rural,% Electricity Access Urban,% Basic Water Access,% Basic Water Access Rural,% Basic Water Access Urban,% Safe Water Access,% Safe Water Access Rural,% Safe Water Access Urban,% Internet Users,Mobile phone subscriptions per 100,Regulatory Quality: Estimate,Government Effectiveness: Estimate,Rule of Law: Estimate,"Government expenditure on education, total (% of GDP)",Pupil-teacher ratio Primary,Pupil-teacher ratio Secondary,School enrollment Tertiary,Domestic credit to private sector (% of GDP)
"Venezuela, RB",2001,99.9,99.1769548238556,100.0,97.0506030485361,,,,,,4.636000948,26.01499674,,,,,,,,12.3700667445056
Bolivia,2001,69.258539,28.0133475022578,94.211133,81.4940913476166,58.2449108453356,95.5594249964728,,,,2.120462534,8.917328029,,,,,,,,
Paraguay,2001,91.04207,82.2929807326335,97.925846,77.7879198510234,56.9142198177341,94.2113269194782,50.7923976210312,28.8880974291963,68.0266800661461,1.098793836,22.06640992,,,,3.83357000350952,,12.8672,19.3145008087158,24.1686675413357
Peru,2001,72.113111,16.0957564815301,92.363804,80.9349728807421,51.9202395473972,91.4240179568878,45.2970342463624,14.3062066179753,56.5004506712429,7.578762957,6.638127117,,,,3.03712010383606,29.28379,20.31555,29.8303699493408,23.4478078840921
Brazil,2001,96.016528,81.875763171679,99.215119,93.8143435778762,74.3392273886433,98.2195421431795,76.5975256507164,49.0512572976918,82.8283909064906,4.528494869,16.13010807,,,,3.84468007087708,22.97087,,,29.0040380210043
Chile,2001,97.1343612670898,82.1771931729168,99.4961471557617,96.062891345866,76.5038818956377,99.1513262856356,92.5939094976499,,98.0599269164789,19.1,32.85744801,,,,,,,,73.0816959622537
Uruguay,2001,97.7260131835938,80.2638695293875,99.1821517944336,97.0455793320333,74.8080169959871,98.8999358314915,,,93.9230057783065,11.12143768,15.75282064,,,,2.80096006393433,20.77524,14.07179,37.7791595458984,53.8538856752747
Argentina,2001,95.5110634674458,88.6387107010035,96.3320159912109,96.5228198652942,77.7862630429431,98.7610379656668,,,,9.780807285,17.98746665,,,,4.833740234375,18.02999,17.48206,58.791690826416,20.833574652466
Ecuador,2001,93.9700241088867,85.9183147263751,99.1614761352539,83.0397753678423,70.1846317853022,91.328306708221,58.7580237951327,43.4497027479093,68.6282751615047,2.670443674,6.688339072,,,,,23.06638,13.57838,,
Colombia,2001,98.47,94.2896105012491,99.91,92.2691173355502,74.5227404396571,98.3821331324187,68.8641708171215,34.4876809358357,80.7056879289226,2.854199971,8.196373426,,,,3.70867991447449,26.01713,,26.3812599182129,21.9066125992657
Brazil,2002,96.652996,84.1179541141622,99.426994,94.1424897502086,75.3689988734084,98.2970484915375,76.9846391084615,50.2827385207288,82.8937518924965,9.149425086,19.32713015,0.182567074894905,-0.0346153452992439,-0.266611307859421,3.75037002563477,22.35331,19.12073,,29.6451419418143
Bolivia,2002,63.996855,22.5278025679909,88.579206,82.192495481738,59.3239027985188,95.7487181495015,,,,3.117192947,11.49737045,-0.0900735929608345,-0.327785730361938,-0.378112554550171,7.1950478553772,,,,
Chile,2002,97.2666854858398,83.0918062237528,99.4588928222656,96.3584619844032,77.9727259389565,99.2018999067582,93.0706286963931,,98.1771225895676,22.1,39.78841312,1.31849634647369,1.07848691940308,1.25724005699158,4.04881000518799,32.92755,32.55556,40.2664985656738,74.3460982792707
Colombia,2002,94.8810424804688,82.1038583057049,99.1863403320313,92.5729955519748,75.1015756217409,98.4600236115694,69.1752616173546,34.758527606593,80.7720482956465,4.6,11.36250635,-0.0232630856335163,-0.487907588481903,-0.749073088169098,4.26812982559204,26.81989,20.92474,26.5130996704102,21.5233089569655
Uruguay,2002,97.8016662597656,80.9206128021252,99.1567993164063,97.1141025553808,74.8080169959871,98.9047324979386,,,93.9230057783065,11.4194702,15.53114058,0.556354939937592,0.588606655597687,0.674292743206024,2.32220005989075,21.1696,,39.5832290649414,70.5117382668268
Paraguay,2002,91.666443,83.7261620553744,97.754926,79.2988558912089,59.4097474825577,94.5495159667529,51.734895397557,30.1695410399504,68.2708744626489,1.794969598,31.53341939,-0.583924293518066,-1.11379849910736,-1.12330663204193,3.40773010253906,26.9585,11.86107,28.3510494232178,20.8556279671977
Peru,2002,74.382688,19.4595836712162,93.830749,81.7100789592886,53.4680331922306,91.7104744878533,45.6919055303477,14.7207152680459,56.6586821883315,8.96694917,8.43967421,-0.039765790104866,-0.391418874263763,-0.557922065258026,2.82056999206543,25.08563,18.91347,30.157190322876,22.2020482940237
"Venezuela, RB",2002,99.8,99.8,99.8,96.8735081885788,,,,,,4.910446327,25.82571685,-0.666176438331604,-1.00294363498688,-1.15901207923889,,,,37.8175811767578,10.1271663738157
Ecuador,2002,94.2339706420898,86.5261108792575,99.1375503540039,83.7853304814912,71.0569416812901,91.8828624736943,59.2665603894288,43.9425677186238,69.0153626696474,4.260796915,11.94176277,-0.72901463508606,-0.831196308135986,-0.756515443325043,,24.47064,13.57727,,18.0733828157646
Argentina,2002,96.0960006713867,92.5830974497896,96.5076904296875,96.7554692969689,79.1678445890489,98.8166314021307,,,,10.88212438,17.33333812,-0.880716562271118,-0.228479072451591,-0.761098086833954,4.01734018325806,17.596,17.04147,62.0592613220215,15.3318584042485
Ecuador,2003,94.973044,88.1286747831256,99.291127,84.5049724237034,71.9309604962399,92.4378605663238,59.7442101819941,44.4354326893383,69.4024501777901,4.460228345,18.02968067,-0.723995983600616,-0.936161398887634,-0.780572593212128,,23.73489,13.27407,,17.2380908737676
Paraguay,2003,92.558399,85.6111689128733,97.80421,80.6966115800717,61.9028011369247,94.8877050140275,52.5689888184747,31.4509846507051,68.5150688591516,2.111942082,33.0704465,-0.761302411556244,-0.997566938400269,-1.05233979225159,3.3827600479126,27.84307,11.83609,26.9992599487305,12.6861707511378
Bolivia,2003,72.3,34.9556020125163,94.0,82.878552285047,60.4039815879047,95.9380189632526,,,,3.508596401,14.11936214,-0.152667000889778,-0.383329838514328,-0.46946907043457,6.62961912155151,,,,
Peru,2003,74.380966,18.497245189282,93.762531,82.474684134901,55.0182740299253,91.9971009293742,46.0834622820292,15.1352239181165,56.81691370542,11.6,10.60821354,0.114225752651691,-0.585180282592773,-0.588656902313232,2.93779993057251,23.96144,16.18434,30.2261905670166,19.9857411626907
Chile,2003,98.782325,92.7695106105395,99.707507,96.6106866646012,79.4415699822757,99.2524735278809,93.4761730857816,,98.2943867587633,25.47377889,45.83031509,1.3334413766861,1.10024511814117,1.17721080780029,3.91868996620178,34.0928,,43.5181999206543,75.8320621380067
Argentina,2003,96.2979507446289,92.9043660661052,96.6882171630859,96.9824166198558,80.5494261351546,98.8722248385947,,,,11.91369655,20.48748472,-0.691475629806519,-0.0342199839651585,-0.777115821838379,3.53504991531372,,16.14991,64.4024505615234,10.7627059172487
Colombia,2003,95.0771865844727,82.6511385372642,99.172721862793,92.8717379215959,75.680310687268,98.5379091540847,69.4828061807332,35.0293742773503,80.8384086623704,7.388923711,15.0671079,-0.126518681645393,-0.221860736608505,-0.739117562770844,4.32513999938965,,,,21.0762350135313
"Venezuela, RB",2003,95.7,67.2847847369515,99.6108016967773,96.6964133286213,,,,,,7.499963465,27.20934415,-1.00267052650452,-0.960159420967102,-1.33635425567627,,,,39.5479507446289,8.90612621463873
Brazil,2003,96.980098,85.3215354110452,99.504184,94.4635263894455,76.3987703581735,98.3745548398954,77.2659685376963,50.9697548149417,82.9591128785024,13.2075861,25.39202175,0.196701481938362,0.0817573666572571,-0.367893666028976,,21.56753,16.73021,,27.6856699444345
Uruguay,2003,97.8757781982422,81.560638819282,99.1363067626953,97.1809653076757,74.8080169959871,98.9095291643857,,,93.9230057783065,15.93713672,15.03020057,0.311726301908493,0.456945091485977,0.656516373157501,2.0682098865509,20.82538,14.81555,41.7629699707031,43.186543114802
Peru,2004,75.692357,20.8976930775592,94.305688,83.228525609799,56.5709620604811,92.2838972814505,46.4713175637238,15.5497325681871,56.9751452225086,14.1,14.67186871,0.204360604286194,-0.649820864200592,-0.545422077178955,2.95787000656128,23.30454,16.636,32.0726013183594,17.9102399219746
Uruguay,2004,97.9553527832031,82.1926666689096,99.1275863647461,97.2456872380091,74.8080169959871,98.9143258308328,,,93.9230057783065,17.06309834,18.09909527,0.29997780919075,0.303184807300568,0.456370502710342,2.49954009056091,20.53409,,42.7656097412109,24.1933895956931
Chile,2004,97.5337295532227,85.3031766389546,99.4058609008789,96.8614230083117,80.9104140255949,99.3030471490035,93.8845755309309,,98.4117194240659,28.17791012,57.81873304,1.36798417568207,1.11775302886963,1.16569674015045,3.54307007789612,27.29501,25.19256,44.3284606933594,76.7499857826017
Colombia,2004,95.2788009643555,83.2066651937505,99.1708755493164,93.1651930443208,76.2589456362378,98.6157897599644,69.7863824437527,35.3002209481076,80.9047690290943,9.118690303,24.97241422,-0.0864163339138031,-0.215896517038345,-0.695200145244598,4.07934999465942,27.95172,24.64723,29.5034599304199,22.1991386566001
Ecuador,2004,94.7642669677734,87.8163957344181,99.1111755371094,85.2242831812291,72.806688230151,92.9933009861095,60.2214424234426,44.9282976600527,69.7895376859328,4.834442638,26.1860424,-0.699335694313049,-0.957234144210815,-0.764899849891663,,23.13241,13.34317,,19.7573270776366
Brazil,2004,96.765107,83.4505450590802,99.585301,94.7773576406478,77.4285418429385,98.4520611882534,77.5417105801939,51.6567711091546,83.0244738645083,19.07367227,35.51552318,0.0374141857028008,-0.0922709181904793,-0.400920122861862,3.97447991371155,21.38676,16.01712,,29.372770255415
Paraguay,2004,93.249876,87.5003645021474,97.533542,82.0578364483405,64.3933807808333,95.2187044133382,53.3776089654459,32.7324282614593,68.7592632556544,3.452438431,32.29215977,-0.752638399600983,-0.965075552463531,-0.981866180896759,2.86989998817444,27.84345,11.83621,27.2375907897949,12.2968111859529
Bolivia,2004,75.865852355957,40.3028939727806,96.1220703125,83.5560293047153,61.4851472134922,96.1273274377261,,,,4.439924601,19.53921968,-0.265374273061752,-0.644271314144135,-0.626744568347931,6.84771823883057,,,,
"Venezuela, RB",2004,99.1,95.5793933258552,99.5833587646484,96.5193184686639,,,,,,8.404469592,32.10814595,-1.06540596485138,-1.05573272705078,-1.25664877891541,,,,41.5587882995605,11.081772129298
Argentina,2004,96.50537109375,93.1807940987941,96.8805236816406,97.2043461157274,81.9310076812603,98.9278182750587,,,,16.03668411,34.94389378,-0.698035299777985,0.015197392553091,-0.767380177974701,3.48652005195618,17.95223,15.42813,64.8878479003906,9.68251819633223
Bolivia,2005,68.288209,29.5450096623227,89.920884,84.2242902869626,62.5673996752825,96.316643572922,,,,5.227583957,25.82171069,-0.693852126598358,-0.699575066566467,-0.765424847602844,6.71352529525757,,,,45.0254627672739
Paraguay,2005,94.686886,89.6435764868766,98.394309,83.4038094172464,66.8814864142854,95.5496527454427,54.1794188710187,34.0138718722139,69.0034576521572,7.907007861,34.45393525,-0.864246666431427,-0.777090907096863,-0.963428318500519,,,,27.9218807220459,12.2808884618236
"Venezuela, RB",2005,98.7767562866211,92.9512347540181,99.5746078491211,96.3422236087065,,,,,,12.55299791,46.85523169,-1.09960174560547,-0.919886887073517,-1.25851392745972,,,,,13.214871769626
Peru,2005,77.173645,24.6324316286897,94.65564,83.9713814105883,58.1260972838982,92.5708635440821,46.8550889845653,15.9642412182578,57.1333767395971,17.1,19.83622779,0.00708298105746508,-0.695960521697998,-0.700787901878357,2.83903002738953,23.02813,16.72571,32.374210357666,19.066421608863
Argentina,2005,96.7252655029297,93.4174966806644,97.0915298461914,97.4211883068913,83.3125892273661,98.9834117115226,,,,17.72058337,56.70883514,-0.525074362754822,-0.0979790613055229,-0.557991087436676,3.86000990867615,17.44373,15.1209,63.732349395752,10.6534929189359
Ecuador,2005,95.83265,89.6499426203581,99.668752,85.9430527454143,73.6841248830236,93.5491837330515,60.6980071745337,45.4211626307671,70.1766251940755,5.994255161,45.36184863,-0.777636587619781,-0.96779453754425,-0.821377992630005,,22.89619,13.90459,,21.3337636764422
Brazil,2005,97.093513,84.8305341166813,99.634816,95.0841359766136,78.4583133277036,98.5295675366113,77.8119682556767,52.3437874033675,83.0898348505142,21.02274725,46.15180215,0.0369012579321861,-0.157670244574547,-0.475531458854675,4.47908020019531,21.04365,15.42777,,31.8397841564577
Chile,2005,97.6824645996094,86.379296120732,99.4039306640625,97.1101191966706,82.3792580689137,99.3536207701262,94.2947464357848,,98.5291205854755,31.17534703,65.34385645,1.31246471405029,1.1556099653244,1.21021103858948,3.28016996383667,26.05133,24.76865,50.2735595703125,77.6345654084378
Colombia,2005,96.8,88.8729066779625,99.3,93.4534280310835,76.8374804686507,98.6936654292086,70.0860124543181,35.5710676188648,80.9711293958182,11.00726389,51.75155503,-0.0163637585937977,-0.197672158479691,-0.63308185338974,4.02098989486694,28.34839,26.17165,32.253978729248,22.7527186089507
Uruguay,2005,98.0474090576172,82.8202847836264,99.137565612793,97.457299940853,76.3250921633245,98.9702225203355,,,93.9715248880556,20.08818956,34.81132061,0.41782546043396,0.492236137390137,0.45884957909584,2.71475005149841,20.15194,14.60478,44.3836708068848,22.4749430738691
Brazil,2006,97.594314,87.1654186077617,99.708742,95.3841881864926,79.4880848124687,98.6070738849692,78.0771293045467,53.0308036975804,83.1551958365201,28.17838018,52.91720162,-0.0412733852863312,-0.391295492649078,-0.402620196342468,4.87060022354126,,,,35.4251666677718
Ecuador,2006,96.315259,91.0974955781545,99.525886,86.661280805982,74.5632704548581,94.1055088071496,61.1739057460291,45.9140276014817,70.5637127022182,7.2,60.56829501,-1.09882938861847,-1.03793919086456,-1.03100264072418,,22.51506,14.36216,,21.8009773357976
Paraguay,2006,96.749045,94.2848426626501,98.536399,84.7343030109567,69.3671180372791,95.8805500103406,54.9740890307161,35.2953154829681,69.2476520486599,7.962073884,58.41069259,-0.702513158321381,-0.963064432144165,-0.971096038818359,,,,,11.6682860592129
Bolivia,2006,76.211281,41.570565416095,95.170734,84.8844138580423,63.6507389732744,96.5059673688402,,,,6.200671255,30.13983939,-0.88841587305069,-0.732252717018127,-0.85372930765152,6.43421983718872,,,,37.8000929735202
Chile,2006,99.368108,96.4189839696739,99.814949,97.3573221347286,83.8481021122329,99.4041943912488,94.7076424957526,,98.6465902429919,34.49775117,76.22360399,1.42389464378357,0.937738180160522,1.18129122257233,3.04014992713928,25.73597,24.41269,49.3216896057129,78.113323368979
"Venezuela, RB",2006,99.3,97.1685020589066,99.5912094116211,96.1651287487491,,,,,,15.22471148,69.32850172,-1.20800864696503,-1.0665237903595,-1.40944445133209,3.66905999183655,,,,17.0371328682102
Argentina,2006,96.9644088745117,93.6189826730907,97.327880859375,97.6332141757066,84.6941707734718,99.0390051479866,,,,20.9272021,79.81991978,-0.61456698179245,-0.0339163094758987,-0.57701563835144,4.12821006774902,17.1849,14.19154,67.1185913085938,11.9102616607561
Colombia,2006,95.7262268066406,84.3692072328959,99.2299423217773,93.7365220800179,77.4159151845066,98.7715361618173,70.3817298964061,35.8419142896221,81.0374897625421,15.34167454,69.58309594,0.106225542724133,-0.191516101360321,-0.508387923240662,3.91671991348267,28.18322,27.36572,34.3662109375,27.3293271996088
Peru,2006,80.157275,31.0512461707818,96.160471,84.7040840155234,59.6836797001765,92.8579997172692,47.2356370534844,16.3787498683284,57.2916082566857,20.7,32.13408596,0.0748254135251045,-0.757418632507324,-0.70465487241745,2.65281009674072,21.88156,16.21431,33.8254699707031,20.8131640208248
Uruguay,2006,98.505426,86.5679785770351,99.328071,97.6603940754754,77.8421673306614,99.0261241655992,,,94.0200439978046,29.4,70.13284845,0.401181012392044,0.379883676767349,0.551547348499298,2.85664010047913,19.64452,15.40865,45.3399810791016,23.7519352815852
Brazil,2007,98.125382,89.7762109431126,99.781449,95.6776268688402,80.5178562972338,98.6845802333272,78.3372659226286,53.7178199917933,83.220556822526,30.88,63.4135915,-0.0228346195071936,-0.290289968252182,-0.40977942943573,4.97425985336304,23.85828,18.55159,,40.6909379403607
Uruguay,2007,98.692636,88.1559018704719,99.391608,97.8550725077812,79.3592424979987,99.082030766624,,,94.0685631075536,34.0,90.25647327,0.380375653505325,0.563164889812469,0.600704789161682,,15.50977,13.79812,50.3921318054199,23.0299725881958
Bolivia,2007,80.156567,46.5350647948982,98.195281,85.535458269738,64.7351651074691,96.6952988254809,,,,10.49924432,33.51209002,-0.986018240451813,-0.574792742729187,-0.832326352596283,6.72048997879028,,,,36.9684280719826
Paraguay,2007,96.452771,93.1261847408821,98.833535,86.0493988819789,71.8502756498153,96.211396208032,55.7616473764269,36.5767590937223,69.4918464451626,11.21,83.97567218,-0.583475470542908,-0.853146731853485,-0.964514315128326,2.73951005935669,,,31.2753391265869,13.7176649664944
Chile,2007,98.0392684936523,88.5062165782339,99.4763565063477,97.602715506187,85.3169461555517,99.4547680123715,95.1225882108195,,98.7379742729562,35.9,84.59985967,1.4855865240097,1.18673837184906,1.19518756866455,3.2331600189209,25.11168,23.71092,54.7230491638184,84.0752473162029
Ecuador,2007,96.812618,92.1896829500312,99.633543,87.3793619728247,75.4441249456539,94.662276208404,61.6496381799933,46.4068925721961,70.9508002103609,10.8,69.74523844,-1.13693797588348,-0.861449539661407,-1.03286147117615,,22.56566,14.65735,,22.849184623435
Argentina,2007,97.2243957519531,93.7968151410963,97.5898132324219,97.8403601049127,86.0757523195775,99.0945985844506,,,,25.94663294,101.3182303,-0.635693550109863,-0.0125325033441186,-0.60147225856781,4.46260023117065,16.36028,13.63714,66.9094467163086,13.0985413493544
Colombia,2007,95.9804077148438,84.9890860004402,99.297721862793,94.014341189398,77.9942497838056,98.8494019577905,70.6354233345572,36.1127609603793,81.0547840089964,21.8,78.37404023,0.284262537956238,-0.0502213798463345,-0.432980388402939,4.08301019668579,29.51974,25.2348,35.4785308837891,30.5665682234071
"Venezuela, RB",2007,98.8523712158203,93.1216828493878,99.6333847045898,95.9880338887916,,,,,,20.83,86.53968776,-1.44393813610077,-1.09786081314087,-1.57048094272614,3.62732005119324,,,,23.4811724669825
Peru,2007,81.988131,38.689204719776,95.809539,85.4260756884851,61.243709309316,93.1453058010116,47.6121663782402,16.793258518399,57.4498397737742,25.2,53.90572862,0.238475114107132,-0.627492427825928,-0.751626133918762,2.62940001487732,21.79327,16.388,,24.6070736917389
Bolivia,2008,84.674991,57.00263148671,99.227943,86.178447326585,65.8206780778659,96.8846379428439,,,,12.5,50.99491498,-0.864422380924225,-0.629991829395294,-0.978549301624298,6.72302007675171,,,,34.6926245132721
Colombia,2008,96.806763,86.963158488676,99.713281,94.2871908166194,78.5724842665475,98.9272628171282,70.8848352722594,36.3836076311366,81.0719979622037,25.6,94.40706951,0.272389978170395,-0.0256232153624296,-0.381235986948013,3.9387800693512,29.3957,,37.9448013305664,31.3428821283831
Ecuador,2008,97.206576,93.2733946810412,99.586687,88.0969010489875,76.3266883554115,95.2194859368146,62.1247128309791,46.8997575429107,71.3378877185036,18.8,80.60041815,-1.12754857540131,-0.854377806186676,-1.10530638694763,,,,38.3230590820312,23.7230653062487
Uruguay,2008,98.784355,88.0019131183618,99.472839,98.0418784087256,80.8763176653357,99.1379423234097,,,94.1170822173027,39.3,105.1463884,0.396923661231995,0.541956722736359,0.613664507865906,,15.00998,12.619,51.0627593994141,27.1685339479512
Brazil,2008,98.526625,91.8522558317765,99.821747,95.9645639704386,81.5476277819988,98.7620865816852,78.5924528100554,54.4048362860062,83.2859178085319,33.83,78.18528647,0.0770274102687836,-0.148200899362564,-0.288044780492783,5.26883983612061,23.02467,17.19542,,45.7822559936968
Paraguay,2008,96.677896,93.3766124131434,99.009049,87.34940587523,74.330959251895,96.5421913385171,56.5424407687472,37.858202704477,69.7360408416654,14.27,102.5794009,-0.491690039634705,-0.870992124080658,-0.910835206508636,,,,37.1245803833008,18.759698013852
Chile,2008,98.2453155517578,89.5805488503394,99.5447463989258,97.8465856667141,86.7857901988709,99.5053416334941,95.5400867626514,,98.8174967546977,37.3,88.80729074,1.50248491764069,1.06214225292206,1.21035730838776,3.79189991950989,24.64024,23.32647,56.7743988037109,100.172568090225
"Venezuela, RB",2008,98.9178161621094,93.202031652557,99.694953918457,95.8109390288342,,,,,,25.88,98.14040558,-1.37214863300323,-1.14979684352875,-1.63578140735626,,,,78.7609786987305,21.4696738075916
Peru,2008,84.678343,45.4175509616323,97.041166,86.0983257164264,62.8061861113172,93.4327817953093,47.9330066058152,17.2077671684698,57.6080712908628,30.57,72.73380352,0.320967674255371,-0.431019514799118,-0.730335593223572,2.8677499294281,20.87707,16.23886,,29.7639607500021
Argentina,2008,97.5016021728516,93.9690229551928,97.8711318969727,98.0428781125276,87.4573338656833,99.1501920209145,,,,28.11262348,115.4815533,-0.702629446983337,-0.123509347438812,-0.699731647968292,4.84440994262695,17.22969,12.23531,68.816291809082,12.313946714342
Paraguay,2009,96.891335,94.7418446987216,98.388943,88.6341505522764,76.8091688435163,96.8729354017957,57.3161639642248,39.1396463152311,69.9802352381681,18.9,98.52812081,-0.409247994422913,-0.90478652715683,-0.857977032661438,,,,40.0043411254883,21.5814306496874
"Venezuela, RB",2009,98.9966583251953,93.2987468994963,99.7694549560547,95.6338441688768,,,,,,32.7,99.27872501,-1.55987942218781,-0.974365472793579,-1.62595248222351,6.87468004226685,,,78.7361907958984,23.6136286787978
Ecuador,2009,96.470862,92.2825551062125,98.984382,88.8138907242714,77.2109606841305,95.7771379923815,62.5991244746966,47.3926225136251,71.7249752266463,24.6,89.81868124,-1.25917947292328,-0.738012194633484,-1.20504021644592,4.34242010116577,23.18609,20.52053,,23.9243357820287
Brazil,2009,98.856938,93.6173982013286,99.85168,96.2447988312122,82.5773992667639,98.8395929300431,78.8422056955295,55.091852580219,83.3512787945378,39.22,87.07984742,0.127607271075249,-0.151303574442863,-0.103854693472385,5.46355009078979,22.64411,17.13865,,47.4942898437646
Colombia,2009,96.057229,83.7688332244996,99.607048,94.555130092227,79.1506186327325,99.0051187398303,71.129988451761,36.6544543018939,81.089131622164,30.0,95.13853853,0.0882817208766937,-0.300557911396027,-0.367777585983276,4.77651977539062,29.30908,26.65632,39.5088005065918,30.058849809334
Argentina,2009,97.7922058105469,94.1565361473394,98.1653900146484,98.2407291145394,88.838915411789,99.2057854573785,,,,34.0,128.9999606,-0.830836772918701,-0.294032037258148,-0.694468080997467,5.53105020523071,,,71.0374603271484,12.4162075416805
Chile,2009,99.593662,97.7480003886174,99.869036,98.0886728560827,88.2546342421897,99.5559152546168,95.9595503190944,,98.8970490334845,41.56,97.72343715,1.42739927768707,1.13757157325745,1.19409048557281,4.25475978851318,23.00957,22.40762,59.9912910461426,102.68707590882
Uruguay,2009,99.1,92.5927274604976,99.5,98.2209436100955,82.393392832673,99.1938588359565,,,94.1656013270517,41.8,122.9476137,0.50594687461853,0.624378561973572,0.755774736404419,,13.98624,12.42639,50.9438095092773,19.8647260994371
Bolivia,2009,86.765597,63.2775839921946,98.874112,86.8124762197611,66.9072778844645,97.0739847209293,,,,16.8,64.31385416,-0.873411774635315,-0.60438460111618,-1.11391890048981,7.57486009597778,,,,37.0182157363304
Peru,2009,86.42432,50.9597738475109,97.476145,86.7473234759731,64.3711101061792,93.7204277001624,48.2284832138322,17.6222758185404,57.7663028079513,31.4,85.14627675,0.366641789674759,-0.489155441522598,-0.624266803264618,3.13994002342224,20.15716,16.53146,,30.0145290325562
Chile,2010,99.5258941650391,98.259694376562,99.7138595581055,98.3290115514448,89.7234782855089,99.6064888757394,96.3809737725732,,98.9766311093167,45.0,116.7493111,1.41517114639282,1.15724182128906,1.22541570663452,4.18953990936279,23.41154,21.86571,66.3445205688477,99.475590658437
Ecuador,2010,97.462142,93.6767025356105,99.715049,89.5305233009271,78.0969419318113,96.3352323751046,63.0731256086382,47.8854874843396,72.112062734789,29.03,98.60665932,-1.12405169010162,-0.674511253833771,-1.14322912693024,4.50743007659912,21.98396,19.9457,,26.5376119109975
Uruguay,2010,99.3,94.2294282861401,99.6,98.3929293447382,83.9104680000104,99.2497803042644,,,94.2141204368007,46.4,132.3477451,0.599306583404541,0.633332192897797,0.786790609359741,,13.79403,12.65841,51.8884315490723,21.4040361151246
Paraguay,2010,97.43086,94.4269003292346,99.495933,89.9037202338302,79.2849044246802,97.203628397868,58.0828478054046,40.4210899259853,70.2244296346709,19.8,102.6392137,-0.361598461866379,-0.912053406238556,-0.830411493778229,2.7707200050354,,,37.7850494384766,25.4241390581724
Brazil,2010,98.6,92.1396107159664,99.8,96.5187999853069,83.607170751529,98.917099278401,79.0871837552091,55.7788688744319,83.4166397805437,40.65,100.293596,0.246619865298271,-0.0868625491857529,0.0564144365489483,5.64879989624023,22.16609,16.66361,,52.7646576277272
